Ref,Val,Package,PosX,PosY,Rot,Side
"J1","EXP8","PinHeader_2x04_P2.54mm_Vertical",43.400000,6.675000,0.000000,bottom
"J4","Header-2","PinHeader_1x20_2H_P2.54mm_Vertical",1.300000,19.400000,-90.000000,bottom
"J7","VBUS","Solderpad_Rounded_Rectangle_0.8x1.3mm",1.375000,8.575000,-90.000000,bottom
"J8","DM","Solderpad_Rounded_Rectangle_0.8x1.3mm",1.375000,11.141667,-90.000000,bottom
"J9","DP","Solderpad_Rounded_Rectangle_0.8x1.3mm",1.375000,9.858334,-90.000000,bottom
"J10","GND","Solderpad_Rectangle_0.8x1.3mm_Chamfered",1.375000,12.425000,-90.000000,bottom
"C1","0.1uF","C_0402_1005Metric",8.300000,6.910000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",33.770000,12.750000,0.000000,top
"C4","1uF","C_0402_1005Metric",21.060000,13.930000,180.000000,top
"C5","1uF","C_0402_1005Metric",20.975000,10.720000,180.000000,top
"C6","0.1uF","C_0402_1005Metric",30.600000,5.080000,-90.000000,top
"C7","0.1uF","C_0402_1005Metric",20.970000,9.720000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",31.690000,16.100000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",33.780000,11.630000,180.000000,top
"C10","0.1uF","C_0402_1005Metric",23.370000,16.230000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",21.070000,15.905000,180.000000,top
"C12","0.1uF","C_0402_1005Metric",24.670000,5.190000,-90.000000,top
"C13","10uF","C_0603_1608Metric",9.710000,14.810000,-90.000000,top
"C14","2.2uF","CP_EIA-2012-12_Kemet-R",17.400000,15.035000,90.000000,top
"C15","10uF","C_0603_1608Metric",19.080000,14.790000,90.000000,top
"C16","470pF","C_0402_1005Metric",11.680000,13.760000,180.000000,top
"C17","30pF","C_0402_1005Metric",37.220000,8.510000,180.000000,top
"C18","30pF","C_0402_1005Metric",37.190000,14.330000,0.000000,top
"C19","1uF","C_0402_1005Metric",8.010000,5.240000,180.000000,top
"D1","BS5817WS","D_SOD-323_HandSoldering",6.400000,16.900000,180.000000,top
"D2","BLUE","LED_0603_1608Metric",34.950000,17.030000,180.000000,top
"D3","RED","LED_0603_1608Metric",4.800000,4.200000,180.000000,top
"J2","USB-C-2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.430000,10.510000,-90.000000,top
"J3","Header-1","PinHeader_1x20_2H_P2.54mm_Vertical",1.300000,1.600000,90.000000,top
"J5","SWD","PinHeader_1x03_P2.54mm_Vertical",49.400000,7.950000,180.000000,top
"JP1","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",11.750000,17.500000,180.000000,top
"JP4","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",11.750000,15.750000,0.000000,top
"JP5","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",31.710000,17.400000,0.000000,top
"R1","DNP","R_0402_1005Metric",18.830000,10.180000,-90.000000,top
"R2","1K","R_0402_1005Metric",18.830000,7.850000,-90.000000,top
"R3","5.1K","R_0402_1005Metric",8.300000,14.400000,90.000000,top
"R4","5.1K","R_0402_1005Metric",8.300000,9.350000,-90.000000,top
"R5","27R","R_0402_1005Metric",21.050000,11.825000,0.000000,top
"R6","27R","R_0402_1005Metric",21.050000,12.825000,0.000000,top
"R7","470R","R_0402_1005Metric",37.970000,16.960000,180.000000,top
"R8","470R","R_0402_1005Metric",7.980000,4.170000,180.000000,top
"R9","10K","R_0402_1005Metric",17.810000,17.300000,0.000000,top
"R10","1K","R_0402_1005Metric",33.780000,10.220000,0.000000,top
"R11","5.1K","R_0402_1005Metric",20.970000,8.330000,0.000000,top
"SW1","UK-B0273-SP25Y","CK_SW_SPST_UK-B0273-SP25Y",12.400000,5.300000,0.000000,top
"SW2","UK-B0273-SP25Y","CK_SW_SPST_UK-B0273-SP25Y",18.765000,5.285000,180.000000,top
"U1","W25Q32JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",13.550000,9.860000,180.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",14.670000,15.350000,-90.000000,top
"U3","RP2040","RP2040-QFN-56",27.370000,10.820000,90.000000,top
"Y1","YIC-12M20P2/XT324-10/10","Crystal_SMD_3225-4Pin_3.2x2.5mm",37.050000,11.430000,90.000000,top
