"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP6";"R_0402_1005Metric";1;"DEB_EN";;;
2;"D1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"DEBUG_LED";;;
3;"C18,C19";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"27p";;;
4;"C11,C5,C10,C9,C2,C1,C17,C8,C7,C6";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";10;"100n";;;
5;"J4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"USB Boot";;;
6;"JP3";"R_0402_1005Metric";1;"VR1_BP";;;
7;"C14,C13";"C_0603_1608Metric";2;"10u";;;
8;"C16,C4,C3";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"1u";;;
9;"R2,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1k";;;
10;"R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"470R";;;
11;"H3,H2,H4,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
12;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABLS-12.000MHZ-B4-T";;;
13;"U4";"RP2040-QFN-56";1;"RP2040";;;
14;"R5,R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"27R";;;
15;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
16;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"DNF";;;
17;"G***";"OSHW-Logo-4x3.6mm";1;"LOGO";;;
18;"JP1";"R_0402_1005Metric";1;"VR1_IN";;;
19;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
20;"R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K";;;
21;"J1";"Korean-Hroparts-Elec_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
22;"C15";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"470pF";;;
23;"JP4";"R_0402_1005Metric";1;"VR1_CE";;;
24;"R8,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"5.1K";;;
25;"D2";"D_SOD-123F";1;"MBR1020VL";;;
26;"J6";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
27;"SW1";"CK_SW_SPST_UK-B0273-SP25Y";1;"Reset";;;
28;"J2";"PinHeader_1x20_2H_P2.54mm_Vertical";1;"Header_1";;;
29;"C12";"CP_EIA-2012-12_Kemet-R";1;"2.2uF";;;
30;"JP5";"R_0402_1005Metric";1;"AREF";;;
31;"U2";"SOT-23-5";1;"MIC5219-3.3YM5";;;
32;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
33;"G***";"Circuitstate-Logomark-27x3.8mm";1;"LOGO";;;
34;"JP2";"R_0402_1005Metric";1;"VR2_OUT";;;
35;"J3";"PinHeader_1x20_2H_P2.54mm_Vertical";1;"Header_2";;;
